country,city_name,total_cycle_km,total_road_km,off_road_km,segregated_wide_km,segregated_narrow_km,painted_km,shared_footway_km,high_los_km
Albania,Tirana,64.35,902.13,13.42,6.69,30.51,9.38,4.35,643.47
Austria,Graz,178.14,1715.88,58.64,2.81,15.25,37.49,63.95,1380.66
Austria,Wien,959.03,4419.65,370.39,45.74,172.71,269.43,100.77,3104.54
Belgium,Antwerpen,611.85,2348.5,165.71,32.26,351.72,27.98,34.18,1569.78
Belgium,Bruxelles / Brussel,149.37,588.83,15.62,9.98,41.33,70.15,12.29,417.62
Belgium,Liège,145.11,912.94,60,4.03,7.28,36.45,37.36,535.48
Bulgaria,Burgas,58.14,989.16,12.55,1.97,30.06,2.13,11.42,481.83
Bulgaria,Sofia,191.7,3865.82,91.54,1.13,34.26,38.51,26.26,2811.16
Croatia,Zagreb,340.46,2987.24,167.71,3.18,101.97,42.61,24.99,2110.75
Cyprus,Lefkosia,18.14,337.75,7.02,0.26,5.29,2.07,3.49,238.32
Czech Republic,Ostrava,151.84,1826.79,89.11,1.41,15.77,18.11,27.44,1247.09
Czech Republic,Praha,686.98,5418.01,299.25,1.21,13.64,272.09,100.79,3639.08
Denmark,Aalborg,504.52,3037.74,214.25,1.95,162.45,42.13,83.75,1685.37
Denmark,København,1299.17,5303.38,489.38,43.17,539.06,73.87,153.69,2697.97
Estonia,Tallinn,450.68,2201.3,214.07,5.02,22.5,30.12,178.98,1515.77
Finland,Helsinki / Helsingfors,1499.67,2941.05,949.17,11.14,189.54,34.53,315.3,2010.61
Finland,Oulu / Uleåborg,0,559.34,0,0,0,0,0,55.74
France,Bordeaux,227.21,985.68,35.3,3.27,32.99,137.95,17.7,695.52
France,Lille,170.59,736.02,31.63,6.88,28.42,96.07,7.58,528.34
France,Marseille,180.16,3083.48,31.87,7,76.32,51.1,13.86,2308.1
France,Paris,637.11,2021.6,69.95,36.54,246.12,261.45,23.03,1330.81
France,Rennes,235.9,917.47,61.23,5.29,44.12,115.34,9.92,632.27
France,Strasbourg,296.68,1010.04,89.02,25.24,111.02,45.31,26.09,653.66
Germany,Berlin,2249.81,10961.33,641.32,66.5,873.51,435.48,233.01,8392.45
Germany,Dortmund,649.55,3485.5,281.09,4.26,114.71,117.85,131.64,2508.21
Germany,Essen,52.44,285.78,8.42,0,0,1.4,42.62,100.5
Germany,Hamburg,1528.34,7724.41,514.07,53.41,495.01,190.8,275.05,5538.25
Germany,Leipzig,601.45,2937.81,236.85,12.5,104.18,119.44,128.48,2133.29
Germany,München,1480.58,4268.54,577.38,77.27,601.62,50.38,173.93,3082.81
Germany,Rostock,248.97,1411.72,87.32,8.9,29.84,22.17,100.74,1037.58
Greece,Athina,181.95,11541.67,90.44,6.5,43.87,20.25,20.9,8227.34
Greece,Irakleio,5.03,2898.87,3.25,0,1.43,0,0.35,1583.35
Hungary,Budapest,485.55,6646.5,97.48,18.14,80.43,246.56,42.93,4777.75
Hungary,Miskolc,50.18,1042.81,19.73,0.03,7.9,18.81,3.7,806.67
Iceland,Reykjavík,325.6,1131.26,235.67,2.74,16.38,10.91,59.9,684.31
Italy,Napoli,20.05,1890.4,1.86,0,9.41,3.68,5.1,1251.63
Italy,Palermo,61.74,1517,8.4,1.07,21.34,3.73,27.2,969.54
Italy,Roma,397.46,10380.51,196.06,9.89,86.39,32.69,72.44,6154.54
Latvia,Riga,157.51,3362.72,72.46,5.07,47.83,10.3,21.85,2320.54
