country,region,city_name,population,area_km2,density,total_sample,bike_prop,bike_share_pct,total_cycle_km,total_road_km,off_road_km,segregated_wide_km,segregated_narrow_km,segregated_km,painted_km,shared_footway_km,high_los_km,cycle_km_per_1000,segregated_pct_network,painted_pct_network,off_road_pct_network,shared_pct_network,high_los_pct_network
Netherlands,Western,Groningen,232874,83.73,2781.2492535530873,846.9999999999994,0.4551781227188803,45.51781227188803,296.57,1052.48,120.68,29.01,75.28,104.29,31.47,40.13,650.36,1.2735213033657686,9.908976892672545,2.9900805716023107,11.466251140164184,3.8128990574642754,61.793098206141686
Netherlands,Western,Amsterdam,1009238,219.5,4597.8952164009115,854.9999999999999,0.3937569109198307,39.37569109198307,937.58,2769.01,369.86,209.76,197.01,406.77,67.82,93.13,1955.9,0.9289979172405319,14.690087793110171,2.449250815273328,13.357120414877519,3.3632959072014907,70.63535342956507
Denmark,Northern,København,1284443,717.07,1791.23795445354,871.0000000000007,0.35052684800699047,35.05268480069905,1299.17,5303.4,489.38,43.17,539.06,582.2299999999999,73.87,153.69,2697.99,1.0114656703333664,10.978428932382998,1.392880039220123,9.22766527133537,2.897952257042652,50.872836293698384
Netherlands,Western,Rotterdam,1242359,128.84,9642.649798199316,842.9999999999997,0.28480093036476795,28.480093036476795,618.17,2112.97,210.46,9.55,294.24,303.79,82.21,21.71,1360.39,0.49757759230624965,14.377392958726345,3.8907320028206747,9.96038751141758,1.0274637122155073,64.38283553481592
Belgium,Western,Antwerpen,531420,208.13,2553.3080286359486,850.9999999999999,0.2807107987357527,28.071079873575272,611.85,2348.5,165.71,32.26,351.72,383.98,27.98,34.18,1569.78,1.1513492153099245,16.350010645092613,1.191398765169257,7.055993187140728,1.455397061954439,66.84181392378113
Denmark,Northern,Aalborg,219487,692.14,317.11358973618053,853.000000000001,0.25866598058422646,25.866598058422646,504.52,3037.79,214.25,1.95,162.45,164.39999999999998,42.13,83.75,1685.42,2.2986327208445148,5.411828994104265,1.3868634764088368,7.0528245862946415,2.756938432215525,55.481781163279884
Sweden,Northern,Malmö,347949,85.73,4058.6609121661027,849.000000000001,0.25736137584446145,25.736137584446144,483.37,1346.11,246.47,6.43,114.83,121.25999999999999,10.81,104.83,470.24,1.3891978422125082,9.008179123548596,0.8030547280682857,18.309796376224828,7.787625082645549,34.93325211164021
Finland,Northern,Oulu / Uleåborg,205489,15.43,13317.49837977965,858.0000000000007,0.22780241769418455,22.780241769418456,0,559.34,0,0,0,0,0,0,55.74,0,0,0,0,0,9.96531626559874
Finland,Northern,Oulu / Uleåborg,205489,1999.38,102.77636067180825,858.0000000000007,0.22780241769418455,22.780241769418456,0,559.34,0,0,0,0,0,0,55.74,0,0,0,0,0,9.96531626559874
Austria,Western,Graz,291134,127.56,2282.329883976168,849.0000000000013,0.21308001286625547,21.308001286625547,178.14,1715.96,58.64,2.81,15.25,18.06,37.49,63.95,1380.75,0.611883187810424,1.0524720855964007,2.1847828620713767,3.4173290752698198,3.7267768479451733,80.46516235809692
Germany,Western,Hamburg,1852478,980.91,1888.5300384336995,851.0000000000001,0.20542298811763623,20.542298811763622,1529.06,7724.42,515.1,53.37,497.09,550.4599999999999,190.76,272.73,5538.44,0.8254133112511997,7.126230836748907,2.469570530861864,6.66846183920605,3.530750528842295,71.70039951219638
Germany,Western,Leipzig,597493,297.89,2005.7504447950587,855.9999999999997,0.20514325149524024,20.514325149524023,601.45,2937.81,236.85,12.5,104.18,116.68,119.44,128.48,2133.29,1.0066226717300453,3.9716659688679665,4.065613501213489,8.062127911607627,4.37332570860607,72.61497510050003
Germany,Western,Rostock,209061,181.61,1151.1535708386102,855.9999999999993,0.19934258875050648,19.93425887505065,248.97,1411.72,87.32,8.9,29.84,38.74,22.17,100.74,1037.58,1.1908964369251078,2.7441702320573484,1.5704247301164536,6.185362536480322,7.1359759725724645,73.49757742328507
France,Western,Strasbourg,417255,78.28,5330.288707204905,858.9999999999997,0.194810293964513,19.481029396451298,296.68,1010.04,89.02,25.24,111.02,136.26,45.31,26.09,653.66,0.7110280284238655,13.490554829511703,4.485960952041504,8.813512336145104,2.5830660171874382,64.71624886143124
Germany,Western,München,1488202,310.71,4789.681696759036,862,0.1942411217066925,19.42411217066925,1480.53,4268.59,577.33,77.28,601.61,678.89,50.38,173.93,3082.86,0.9948447858556836,15.9043150080003,1.1802492157831976,13.52507502477399,4.074647600261445,72.22197493786004
Sweden,Northern,Stockholm,1877204,215.78,8699.619983316341,838.9999999999998,0.19219895000478093,19.219895000478093,1117.17,2854.46,672.1,32.11,202.64,234.75,46.38,163.94,1958.68,0.595124451045278,8.22397230999909,1.624825711342951,23.5456093271582,5.743292952082005,68.61823252033659
France,Western,Bordeaux,726869,49.99,14540.288057611522,854.9999999999993,0.18719658849463158,18.71965884946316,227.21,985.68,35.3,3.27,32.99,36.260000000000005,137.95,17.7,695.52,0.3125872750110405,3.678678678678679,13.99541433325217,3.581283986689392,1.7957146335524714,70.56245434623813
Italy,Southern,Bologna,394463,140.64,2804.771046643914,857,0.18427521440157618,18.42752144015762,282.7,1575.52,97.59,14.43,52.95,67.38,82.36,35.37,1009.34,0.7166705115562169,4.2766832537828785,5.227480450898751,6.194145425002539,2.2449730882502283,64.06392809992892
Norway,Northern,Oslo,693494,480.75,1442.5252210088404,878,0.1680489904946035,16.80489904946035,706.33,3344.92,388.69,1.71,25.13,26.84,107.49,183.32,2376.85,1.018509172393705,0.8024108199897158,3.2135297705176806,11.620307810052259,5.480549609557179,71.05850065173458
Slovenia,Southern,Ljubljana,294464,275.04,1070.6224549156486,859,0.16749370118828666,16.749370118828665,308.46,1940.77,62.62,39.75,115.19,154.94,63.11,27.78,1249.23,1.0475304281677895,7.983429257459668,3.251802119777202,3.226554408817119,1.4313906336144933,64.36775094421286
France,Western,Rennes,267502,50.38,5309.68638348551,849.0000000000003,0.16553540023092117,16.55354002309212,235.9,917.47,61.23,5.29,44.12,49.41,115.34,9.92,632.27,0.8818625655135288,5.385462194949153,12.57152822435611,6.673787698780341,1.0812342637906416,68.91451491601904
Germany,Western,Berlin,3664088,891.14,4111.686154812936,862.0000000000003,0.1654407318399705,16.54407318399705,2249.83,10960.87,641.32,66.49,873.51,940,435.5,233.01,8392.5,0.6140218248033343,8.575961579692123,3.973224753144595,5.850995404561864,2.1258349017915545,76.56782718890014
Albania,Southern,Tirana,836722,40.11,20860.683121416107,856.0000000000013,0.15754666407384138,15.754666407384137,64.35,902.13,13.42,6.69,30.51,37.2,9.38,4.35,643.47,0.07690726430044866,4.123574207708424,1.0397614534490596,1.4875904803077162,0.4821921452562269,71.32785740414353
Austria,Western,Wien,1920949,414.86,4630.354818492985,865.0000000000008,0.15414720344526792,15.414720344526792,959,4419.38,370.39,45.74,172.71,218.45000000000002,269.4,100.76,3104.56,0.4992324106470291,4.943001054446551,6.095877702302132,8.381039874371519,2.279957822137947,70.24876792672275
Switzerland,Western,Genève,415360,18.29,22709.67741935484,869.0000000000011,0.15063717074712843,15.063717074712843,116.16,378.13,22.66,1.47,15.95,17.419999999999998,68.31,7.78,273.97,0.2796610169491525,4.606881231322561,18.0652156665697,5.9926480311004156,2.057493454632005,72.45391796472114
Italy,Southern,Verona,257838,198.96,1295.9288299155608,857.0000000000002,0.14910126593508236,14.910126593508236,131.27,1539.9,49.28,4.89,19.95,24.84,13.8,43.35,853.05,0.5091181284372358,1.613091759205143,0.8961620884473017,3.2002078057016687,2.8151178647964152,55.39645431521527
Luxembourg,Western,Luxembourg,124509,51.74,2406.4360262852724,854.9999999999995,0.14856696668657687,14.856696668657687,115.25,604.96,42.97,2.21,20.15,22.36,21.35,28.57,346.5,0.9256358978065843,3.6961121396455963,3.529158952658027,7.102948955302829,4.722626289341444,57.27651414969584
Germany,Western,Essen,582415,98.11,5936.3469574966875,867.0000000000001,0.14741030062492116,14.741030062492117,52.44,285.78,8.42,0,0,0,1.4,42.62,100.5,0.09003888979507739,0,0.4898873259150396,2.946322345860452,14.913569878927849,35.16691161032963
Poland,Eastern,Białystok,296958,102.12,2907.9318448883664,858,0.1450020904406619,14.500209044066189,0,3.88,0,0,0,0,0,0,1.36,0,0,0,0,0,35.05154639175258
France,Western,Paris,10211741,105.39,96894.7812885473,852.9999999999999,0.14343705021600606,14.343705021600606,638.15,2021.6,69.95,36.54,246.12,282.66,262.5,23.03,1330.81,0.06249179253567046,13.981994459833798,12.984764542936288,3.4601305896319747,1.139196675900277,65.8295409576573
Finland,Northern,Helsinki / Helsingfors,1187138,717.64,1654.2249595897665,857.0000000000007,0.14084013383666882,14.084013383666882,1499.96,2941.05,949.11,11.14,189.88,201.01999999999998,34.53,315.31,2010.61,1.2635093813861573,6.8349739038778665,1.1740704850308563,32.27112765848931,10.72100100304313,68.36367963822444
United Kingdom,Northern,Manchester,2798799,115.73,24183.867622915404,853,0.13342661284235,13.342661284235,227.15,2176.2,103.29,2.33,23.49,25.82,60.79,37.25,1718.15,0.08115981176211653,1.186471831633122,2.7934013417884387,4.746346843121037,1.7116992923444538,78.95184266152009
France,Western,Lille,939749,34.83,26981.022107378696,860.0000000000001,0.13273229494583438,13.273229494583438,170.58,736.02,31.63,6.88,28.42,35.300000000000004,96.07,7.58,528.34,0.18151655388832552,4.79606532431184,13.052634439281542,4.29743756963126,1.0298633189315507,71.78337545175403
Poland,Eastern,Kraków,779966,326.85,2386.311763806027,869.9999999999999,0.13255660945129213,13.255660945129213,655.23,4083.98,427.46,16.89,78.74,95.63,31.95,100.18,3117.01,0.8400750801958035,2.341588352538455,0.7823250848437063,10.46675057174619,2.4529992801140064,76.32285172797124
Greece,Southern,Irakleio,144422,1032.82,139.832691078794,852.0000000000001,0.13004191642507973,13.004191642507973,5.03,2898.89,3.25,0,1.43,1.43,0,0.35,1583.37,0.03482848873440335,0.049329226014095055,0,0.11211187730476148,0.012073586786666621,54.619871744012364
Switzerland,Western,Zürich,695019,91.87,7565.244367040383,868.0000000000003,0.12992027033202633,12.992027033202632,256.24,1267.76,63.55,2.36,19.86,22.22,124.79,45.67,889.96,0.36868056844489144,1.7526976714835616,9.843345743673881,5.012778443869502,3.602416861235565,70.19940682779075
Germany,Western,Dortmund,587696,280.77,2093.15810093671,860.0000000000006,0.12787571835685782,12.787571835685782,650.06,3485.54,281.09,4.26,114.71,118.97,118.36,131.64,2508.25,1.1061160872287712,3.413244432713439,3.395743557669687,8.064460600079183,3.776746214359898,71.96158988277283
Italy,Southern,Torino,848196,130.08,6520.571955719556,882,0.12760239153340716,12.760239153340716,701.28,8424.99,283.66,27.12,211.16,238.28,52.69,126.66,4351.69,0.8267900343788464,2.8282526151366354,0.6254013357879357,3.366888269303584,1.503384573750236,51.652168133137245
Spain,Southern,Málaga,577405,395.42,1460.232158211522,854,0.12626515810231279,12.626515810231279,135.02,2218.12,21.84,4.35,63.78,68.13,44.3,0.75,1243.73,0.23383933287726988,3.071520025967937,1.9971868068454368,0.9846176040971634,0.033812417723116876,56.07135772636287
